,index,Serial No
0,18040120,948
1,18040264,924
2,18040210,816
3,18111158,742
4,18040382,735
5,18070582,727
6,18040375,615
7,18040311,584
8,18090165,579
9,18090810,576
10,18040082,563
11,18090862,547
12,18070494,546
13,18070784,539
14,18040140,530
15,18040285,521
16,18070577,515
17,18111094,503
18,18070453,499
19,18070526,498
20,18090813,498
21,18040250,492
22,18040161,487
23,18070479,473
24,18090817,473
25,18040143,472
26,18111187,466
27,18040252,465
28,18070696,463
29,18090899,461
30,18040165,458
31,18090863,453
32,18070560,451
33,18040266,446
34,18040182,445
35,18091008,444
36,18111057,440
37,18040251,439
38,18070687,439
39,18040177,438
40,18090945,435
41,18090956,428
42,18040234,424
43,18090883,421
44,18111218,420
45,18040343,417
46,18111217,415
47,18090985,413
48,18040300,411
49,18040328,411
50,18070722,409
51,18040287,405
52,18090833,404
53,18040236,403
54,18040255,398
55,18040173,393
56,18040385,393
57,18040167,393
58,18090850,393
59,18070759,389
60,18040390,387
61,18111070,387
62,18040267,387
63,18111220,386
64,18040096,383
65,18040290,383
66,18090875,380
67,18090942,380
68,18070437,378
69,18111081,377
70,18091018,373
71,18090821,373
72,18090994,372
73,18070416,371
74,18111153,371
75,18040332,370
76,18070644,367
77,18040073,365
78,18040063,364
79,18070774,364
80,18040395,361
81,18070492,360
82,18040217,359
83,18070563,358
84,18090916,358
85,18111096,358
86,18070689,356
87,18111065,354
88,18070663,353
89,18040304,351
90,18040168,349
91,18070426,349
92,18090981,348
93,18040254,346
94,18090893,345
95,18040201,345
96,18070758,343
97,18070662,342
98,18040048,342
99,18070508,340
100,18090853,340
101,18090874,340
102,18090845,339
103,18070740,337
104,18070747,336
105,18090931,334
106,18070561,333
107,18040076,333
108,18010003,332
109,18111054,332
110,18070809,332
111,18040380,331
112,18070669,330
113,18090904,330
114,18070781,329
115,18070412,329
116,18070702,329
117,18040393,328
118,18091001,326
119,18090998,325
120,18070641,320
121,18040146,320
122,18070447,318
123,18070470,315
124,18070567,314
125,18070748,314
126,18070515,311
127,18040316,310
128,18111074,307
129,18070800,307
130,18040133,307
131,18090952,306
132,18040326,305
133,18070796,305
134,18040049,302
135,18040356,301
136,18070575,301
137,18090827,300
138,18091013,298
139,18040154,298
140,18090844,297
141,18090860,296
142,18040095,295
143,18111067,294
144,18040296,294
145,18040091,294
146,18090858,293
147,18040260,292
148,18070718,292
149,18040386,291
150,18090895,291
151,18040142,290
152,18070581,289
153,18070753,287
154,18090865,285
155,18111147,285
156,18040280,285
157,18090988,285
158,18111155,285
159,18070417,284
160,18090936,283
161,18070457,283
162,18040333,282
163,18111178,281
164,18070573,280
165,18070444,280
166,18040239,280
167,18070779,280
168,18090951,279
169,18070675,277
170,18111039,277
171,18070570,277
172,18040262,277
173,18040246,277
174,18040195,276
175,18040031,276
176,18040377,275
177,18070733,271
178,18070445,270
179,18040176,269
180,18111164,269
181,18070681,268
182,18070589,267
183,18070678,265
184,8111200,264
185,18070783,264
186,18070798,264
187,18090885,263
188,18070525,262
189,18040270,262
190,18070701,262
191,18111053,262
192,18070411,261
193,18040158,261
194,18040359,261
195,18040256,261
196,18070604,261
197,18070499,261
198,18111037,259
199,18111175,259
200,18070431,259
201,18040222,259
202,18070517,258
203,18090912,258
204,18111059,257
205,18111023,257
206,18090815,256
207,18090927,256
208,18111133,255
209,18040064,255
210,18091006,255
211,18070569,255
212,18070574,254
213,18040114,254
214,18070505,253
215,18090877,253
216,18040186,253
217,18040354,253
218,18070704,252
219,18040205,252
220,18070467,252
221,18040085,250
222,18111134,250
223,18040241,248
224,18090987,247
225,18040232,246
226,18111185,246
227,18111188,245
228,18111172,243
229,18070433,243
230,18040309,243
231,18040066,243
232,18040346,242
233,18070558,242
234,18090898,241
235,18040030,241
236,18111137,241
237,18040108,240
238,18040156,240
239,18040242,240
240,18070556,239
241,18070640,239
242,18111199,239
243,18070633,236
244,18070504,236
245,18070770,236
246,18070679,236
247,18090971,235
248,18070646,234
249,18070610,233
250,18070440,232
251,18040034,232
252,18070719,231
253,18111091,231
254,18040097,231
255,18040192,231
256,18040078,230
257,18111127,229
258,18090965,229
259,18070549,228
260,18111078,227
261,18070785,227
262,18111100,227
263,18090164,226
264,18070739,225
265,18040364,225
266,18111088,224
267,18070523,224
268,18090950,223
269,18040314,223
270,18070595,223
271,18090897,223
272,18040122,222
273,18070597,221
274,18040407,220
275,18111205,220
276,18040319,219
277,18090932,219
278,18070773,218
279,18070614,218
280,18070725,217
281,18040093,216
282,18070432,216
283,18111071,216
284,18070602,215
285,18040327,214
286,18040098,214
287,18070466,214
288,18040163,213
289,18040381,213
290,18070724,213
291,18040183,213
292,18070554,212
293,18070802,212
294,18070529,211
295,18070734,211
296,18090938,210
297,18091012,210
298,18070487,210
299,18090978,210
300,18090832,209
301,18040067,209
302,18070735,208
303,18040278,207
304,18040344,207
305,18040137,206
306,18040336,206
307,18070518,206
308,18040187,205
309,18090830,204
310,18040207,203
311,18070458,203
312,18040253,203
313,18090997,202
314,18070671,202
315,18040024,202
316,18040040,201
317,18040152,200
318,18040338,200
319,18040194,199
320,18111075,198
321,18070524,197
322,18040065,196
323,18070787,195
324,18040068,195
325,18070751,195
326,18040323,194
327,18111087,194
328,18111069,194
329,18040321,194
330,18090872,194
331,18040188,194
332,18070647,193
333,18040113,193
334,18040320,193
335,18111026,193
336,18070491,193
337,18111197,193
338,18040116,192
339,18040037,191
