SerialNo,fileName
00﻿Seria,device not found in Vision DB
0018070549,No FOTA files available for this device
0018070753,No FOTA files available for this device
0018070574,No FOTA files available for this device
0018090843,No FOTA files available for this device
0018040057,No FOTA files available for this device
0018000999,No FOTA files available for this device
0018090865,ASD_OTA-SW_v1.1.tar.gz
0018040132,ASD_OTA-SW_v1.1.tar.gz
0018040066,ASD_OTA-SW_v1.1.tar.gz
0018040258,ASD_OTA-SW_v1.1.tar.gz
0018070533,No FOTA files available for this device
0018040057,No FOTA files available for this device
0018090843,No FOTA files available for this device
0018111189,No FOTA files available for this device
0018070759,No FOTA files available for this device
0018090907,ASD_OTA-SW_v1.1.tar.gz
0018070510,No FOTA files available for this device
0018070708,No FOTA files available for this device
0018040031,No FOTA files available for this device
0018070525,No FOTA files available for this device
0018070752,No FOTA files available for this device
0018040266,No FOTA files available for this device
0018040342,No FOTA files available for this device
0018040286,No FOTA files available for this device
0018070560,No FOTA files available for this device
0018091003,No FOTA files available for this device
0018090850,No FOTA files available for this device
0018070785,No FOTA files available for this device
0018040173,No FOTA files available for this device
0018090910,No FOTA files available for this device
0018111128,No FOTA files available for this device
0018111123,No FOTA files available for this device
0018040304,No FOTA files available for this device
0018040133,No FOTA files available for this device
0018091015,No FOTA files available for this device
0018040333,No FOTA files available for this device
0018040300,No FOTA files available for this device
0018111144,No FOTA files available for this device
0018111029,No FOTA files available for this device
0018040269,No FOTA files available for this device
0018090985,No FOTA files available for this device
0018111057,No FOTA files available for this device
0018090827,No FOTA files available for this device
0018090896,No FOTA files available for this device
0018040046,No FOTA files available for this device
0018070704,No FOTA files available for this device
0018070598,No FOTA files available for this device
0018111079,No FOTA files available for this device
0018090861,No FOTA files available for this device
0018040232,No FOTA files available for this device
0018111060,No FOTA files available for this device
0018040361,No FOTA files available for this device
0018070738,No FOTA files available for this device
0018040205,No FOTA files available for this device
0018070579,No FOTA files available for this device
0018070778,No FOTA files available for this device
0018091012,No FOTA files available for this device
0018070801,No FOTA files available for this device
0018040164,No FOTA files available for this device
0018070665,No FOTA files available for this device
0018040103,No FOTA files available for this device
0018040115,No FOTA files available for this device
0018090965,No FOTA files available for this device
0018070419,No FOTA files available for this device
0018111084,No FOTA files available for this device
0018070695,No FOTA files available for this device
0018040152,No FOTA files available for this device
0018070616,No FOTA files available for this device
0018111124,No FOTA files available for this device
0018111207,No FOTA files available for this device
0018040356,No FOTA files available for this device
0018040139,No FOTA files available for this device
0018040255,No FOTA files available for this device
0018090905,No FOTA files available for this device
0018090969,No FOTA files available for this device
0018090835,No FOTA files available for this device
0018040369,No FOTA files available for this device
0018040334,No FOTA files available for this device
0018111164,No FOTA files available for this device
0018040267,No FOTA files available for this device
0018070524,No FOTA files available for this device
0018070694,No FOTA files available for this device
0018070589,No FOTA files available for this device
0018040214,No FOTA files available for this device
0018040390,No FOTA files available for this device
0018090936,No FOTA files available for this device
0018111025,No FOTA files available for this device
0018090836,No FOTA files available for this device
0018091008,No FOTA files available for this device
0018040142,No FOTA files available for this device
0018040113,No FOTA files available for this device
0018111169,No FOTA files available for this device
0018070615,No FOTA files available for this device
0018111081,No FOTA files available for this device
0018070433,No FOTA files available for this device
0018070450,No FOTA files available for this device
0018090838,No FOTA files available for this device
0018040337,No FOTA files available for this device
0018070754,No FOTA files available for this device
0018070469,No FOTA files available for this device
0018040143,No FOTA files available for this device
0018090816,No FOTA files available for this device
0018111093,No FOTA files available for this device
0018111054,No FOTA files available for this device
0018040175,No FOTA files available for this device
0018040318,No FOTA files available for this device
0018040148,No FOTA files available for this device
0018040380,No FOTA files available for this device
0018070783,No FOTA files available for this device
0018111040,No FOTA files available for this device
0018040192,No FOTA files available for this device
0018090899,No FOTA files available for this device
0018090913,No FOTA files available for this device
0018070644,No FOTA files available for this device
0018090897,No FOTA files available for this device
0018040141,No FOTA files available for this device
0018090963,No FOTA files available for this device
0018070499,No FOTA files available for this device
0018090834,No FOTA files available for this device
0018040393,No FOTA files available for this device
0018040246,No FOTA files available for this device
0018040316,No FOTA files available for this device
0018090986,No FOTA files available for this device
0018070577,No FOTA files available for this device
0018040096,No FOTA files available for this device
0018070800,No FOTA files available for this device
