,Total no of devices visible in server,1157,,,,,
,Total no of devices completed the download,920,,,,,
,Total no of devices remains pending,237,,,,,
,,,,,,Below mentioned serial numbers are part of pending serial numbers as well.,
,,,,,,,
,,,,,,,
S.No,Pending Serial Numbers,Pending Files,,,,S.No,Invisible Serial Numbers
1,18090865,ASD_OTA-SW_v1.1.tar.gz,,,,1,18070600
2,18040132,ASD_OTA-SW_v1.1.tar.gz,,,,2,18070530
3,18040066,ASD_OTA-SW_v1.1.tar.gz,,,,3,18010005
4,18040258,ASD_OTA-SW_v1.1.tar.gz,,,,4,18070805
5,18090907,ASD_OTA-SW_v1.1.tar.gz,,,,5,18070544
6,18111221,ASD_OTA-SW_v1.0.tar.gz,,,,6,18070543
7,18070727,ASD_OTA-SW_v1.0.tar.gz,,,,7,18070769
8,18040370,ASD_OTA-SW_v1.1.tar.gz,,,,8,18070723
9,18040216,ASD_OTA-SW_v1.1.tar.gz,,,,9,18070418
10,18090949,ASD_OTA-SW_v1.1.tar.gz,,,,10,18070452
11,18070762,ASD_OTA-SW_v1.1.tar.gz,,,,11,18070664
12,18040355,ASD_OTA-SW_v1.1.tar.gz,,,,12,18070726
13,18040240,ASD_OTA-SW_v1.1.tar.gz,,,,13,18111216
14,18040129,ASD_OTA-SW_v1.1.tar.gz,,,,14,18111095
15,18090962,ASD_OTA-SW_v1.1.tar.gz,,,,15,18111051
16,18090954,ASD_OTA-SW_v1.1.tar.gz,,,,16,18040226
17,18090844,ASD_OTA-SW_v1.1.tar.gz,,,,17,18111106
18,18111148,ASD_OTA-SW_v1.1.tar.gz,,,,18,18040273
19,18070461,ASD_OTA-SW_v1.1.tar.gz,,,,19,18090970
20,18111182,ASD_OTA-SW_v1.1.tar.gz,,,,20,18090943
21,18070488,ASD_OTA-SW_v1.1.tar.gz,,,,21,18090859
22,18111214,ASD_OTA-SW_v1.1.tar.gz,,,,22,18090826
23,18040207,ASD_OTA-SW_v1.1.tar.gz,,,,23,18090829
24,18090925,ASD_OTA-SW_v1.1.tar.gz,,,,24,18040123
25,18090989,ASD_OTA-SW_v1.1.tar.gz,,,,25,18040368
26,18040079,ASD_OTA-SW_v1.1.tar.gz,,,,26,18070776
27,18040044,ASD_OTA-SW_v1.1.tar.gz,,,,27,18111086
28,18111137,ASD_OTA-SW_v1.1.tar.gz,,,,28,18111092
29,18070654,ASD_OTA-SW_v1.1.tar.gz,,,,29,18091010
30,18111191,ASD_OTA-SW_v1.1.tar.gz,,,,30,18040112
31,18040124,ASD_OTA-SW_v1.1.tar.gz,,,,31,18040088
32,18091016,ASD_OTA-SW_v1.1.tar.gz,,,,32,18040282
33,18040127,ASD_OTA-SW_v1.1.tar.gz,,,,33,18070788
34,18070629,ASD_OTA-SW_v1.1.tar.gz,,,,34,18070713
