"No.","Time","MAC timestamp","Source","elevation","Severity level","Service Info PSID","Elevation","Checksum","Protocol","Latitude","Longitude","Destination Port","elevation","lat","long"
"1","0.000000","","ca:56:04:27:6a:c4","","","","","","SAE J2735 (2016)","","","","","407439367,25","-739299965,40"
"2","0.103918","","ca:56:04:27:6a:c4","","","","","","SAE J2735 (2016)","","","","","407439367,25","-739299965,40"
"3","0.099004","","ca:56:04:27:6a:c4","","","","","","SAE J2735 (2016)","","","","","407439367,25","-739299965,42"
"4","0.098661","","ca:56:04:27:6a:c4","","","","","","SAE J2735 (2016)","","","","","407439367,27","-739299965,42"
"5","0.104112","","ca:56:04:27:6a:c4","","","","","","SAE J2735 (2016)","","","","","407439367,27","-739299965,42"
"6","0.098728","","ca:56:04:27:6a:c4","","","","","","SAE J2735 (2016)","","","","","407439367,27","-739299965,42"
"7","0.102461","","ca:56:04:27:6a:c4","","","","","","SAE J2735 (2016)","","","","","407439367,27","-739299965,42"
"8","0.094520","","ca:56:04:27:6a:c4","","","","","","SAE J2735 (2016)","","","","","407439367,27","-739299965,42"
"9","0.102244","","ca:56:04:27:6a:c4","","","","","","SAE J2735 (2016)","","","","","407439367,27","-739299965,42"
"10","0.096290","","ca:56:04:27:6a:c4","","","","","","SAE J2735 (2016)","","","","","407439367,27","-739299965,42"
"11","0.104577","","ca:56:04:27:6a:c4","","","","","","SAE J2735 (2016)","","","","","407439367,27","-739299965,40"
"12","0.097724","","ca:56:04:27:6a:c4","","","","","","SAE J2735 (2016)","","","","","407439367,27","-739299965,40"
"13","0.099871","","ca:56:04:27:6a:c4","","","","","","SAE J2735 (2016)","","","","","407439367,27","-739299965,40"
"14","0.102607","","ca:56:04:27:6a:c4","","","","","","SAE J2735 (2016)","","","","","407439367,27","-739299965,42"
"15","0.099981","","ca:56:04:27:6a:c4","","","","","","SAE J2735 (2016)","","","","","407439367,25","-739299965,42"
"16","0.094571","","ca:56:04:27:6a:c4","","","","","","SAE J2735 (2016)","","","","","407439367,25","-739299965,42"
"17","0.103623","","ca:56:04:27:6a:c4","","","","","","SAE J2735 (2016)","","","","","407439367,27","-739299965,42"
"18","0.104727","","ca:56:04:27:6a:c4","","","","","","SAE J2735 (2016)","","","","","407439367,27","-739299965,42"
"19","0.097334","","ca:56:04:27:6a:c4","","","","","","SAE J2735 (2016)","","","","","407439367,27","-739299965,42"
"20","0.098736","","ca:56:04:27:6a:c4","","","","","","SAE J2735 (2016)","","","","","407439367,27","-739299965,42"
"21","0.098324","","ca:56:04:27:6a:c4","","","","","","SAE J2735 (2016)","","","","","407439367,27","-739299965,42"
"22","0.103058","","ca:56:04:27:6a:c4","","","","","","SAE J2735 (2016)","","","","","407439367,27","-739299965,42"
"23","0.104089","","ca:56:04:27:6a:c4","","","","","","SAE J2735 (2016)","","","","","407439367,25","-739299965,40"
"24","0.103422","","ca:56:04:27:6a:c4","","","","","","SAE J2735 (2016)","","","","","407439367,25","-739299965,42"
"25","0.103244","","ca:56:04:27:6a:c4","","","","","","SAE J2735 (2016)","","","","","407439367,25","-739299965,40"
"26","0.104742","","ca:56:04:27:6a:c4","","","","","","SAE J2735 (2016)","","","","","407439367,27","-739299965,42"
"27","0.103365","","ca:56:04:27:6a:c4","","","","","","SAE J2735 (2016)","","","","","407439367,27","-739299965,40"
"28","0.095843","","ca:56:04:27:6a:c4","","","","","","SAE J2735 (2016)","","","","","407439367,27","-739299965,40"
"29","0.104418","","ca:56:04:27:6a:c4","","","","","","SAE J2735 (2016)","","","","","407439367,25","-739299965,42"
"30","0.105703","","ca:56:04:27:6a:c4","","","","","","SAE J2735 (2016)","","","","","407439367,27","-739299965,40"
"31","0.097971","","ca:56:04:27:6a:c4","","","","","","SAE J2735 (2016)","","","","","407439367,27","-739299965,40"
"32","0.105393","","ca:56:04:27:6a:c4","","","","","","SAE J2735 (2016)","","","","","407439367,27","-739299965,42"
"33","0.104947","","ca:56:04:27:6a:c4","","","","","","SAE J2735 (2016)","","","","","407439367,27","-739299965,42"
"34","0.095869","","ca:56:04:27:6a:c4","","","","","","SAE J2735 (2016)","","","","","407439367,27","-739299965,42"
"35","0.098801","","ca:56:04:27:6a:c4","","","","","","SAE J2735 (2016)","","","","","407439367,25","-739299965,42"
"36","0.098976","","ca:56:04:27:6a:c4","","","","","","SAE J2735 (2016)","","","","","407439367,25","-739299965,42"
"37","0.105168","","ca:56:04:27:6a:c4","","","","","","SAE J2735 (2016)","","","","","407439367,25","-739299965,40"
"38","0.095526","","ca:56:04:27:6a:c4","","","","","","SAE J2735 (2016)","","","","","407439367,25","-739299965,40"
"39","0.099518","","ca:56:04:27:6a:c4","","","","","","SAE J2735 (2016)","","","","","407439367,27","-739299965,42"
"40","0.099228","","ca:56:04:27:6a:c4","","","","","","SAE J2735 (2016)","","","","","407439367,25","-739299965,42"
"41","0.102569","","ca:56:04:27:6a:c4","","","","","","SAE J2735 (2016)","","","","","407439367,25","-739299965,42"
"42","0.101217","","ca:56:04:27:6a:c4","","","","","","SAE J2735 (2016)","","","","","407439367,25","-739299965,42"
"43","0.097902","","ca:56:04:27:6a:c4","","","","","","SAE J2735 (2016)","","","","","407439367,25","-739299965,42"
"44","0.096527","","ca:56:04:27:6a:c4","","","","","","SAE J2735 (2016)","","","","","407439367,25","-739299965,42"
"45","0.096271","","ca:56:04:27:6a:c4","","","","","","SAE J2735 (2016)","","","","","407439367,25","-739299965,42"
"46","0.097126","","ca:56:04:27:6a:c4","","","","","","SAE J2735 (2016)","","","","","407439367,27","-739299965,42"
"47","0.098451","","ca:56:04:27:6a:c4","","","","","","SAE J2735 (2016)","","","","","407439367,27","-739299965,40"
"48","0.097172","","ca:56:04:27:6a:c4","","","","","","SAE J2735 (2016)","","","","","407439367,27","-739299965,40"
"49","0.096089","","ca:56:04:27:6a:c4","","","","","","SAE J2735 (2016)","","","","","407439367,27","-739299965,42"
"50","0.095451","","ca:56:04:27:6a:c4","","","","","","SAE J2735 (2016)","","","","","407439367,27","-739299965,42"
