"No.","Time","MAC timestamp","Source","elevation","Severity level","Service Info PSID","Elevation","Checksum","Protocol","Latitude","Longitude","Destination Port","elevation","lat","long"
"1","0.000000","","56:a3:a6:a3:e2:d2","","","","","","SAE J2735 (2016)","","","","","407439367,2001","-739299973,44"
"2","0.101057","","56:a3:a6:a3:e2:d2","","","","","","SAE J2735 (2016)","","","","","407439367,36","-739299973,44"
"3","0.104824","","56:a3:a6:a3:e2:d2","","","","","","SAE J2735 (2016)","","","","","407439367,34","-739299973,44"
"4","0.095310","","56:a3:a6:a3:e2:d2","","","","","","SAE J2735 (2016)","","","","","407439367,34","-739299973,44"
"5","0.105016","","56:a3:a6:a3:e2:d2","","","","","","SAE J2735 (2016)","","","","","407439367,36","-739299973,44"
"6","0.100448","","56:a3:a6:a3:e2:d2","","","","","","SAE J2735 (2016)","","","","","407439367,36","-739299973,46"
"7","0.099770","","56:a3:a6:a3:e2:d2","","","","","","SAE J2735 (2016)","","","","","407439367,34","-739299973,28"
"8","0.098972","","56:a3:a6:a3:e2:d2","","","","","","SAE J2735 (2016)","","","","","407439367,34","-739299973,28"
"9","0.104629","","56:a3:a6:a3:e2:d2","","","","","","SAE J2735 (2016)","","","","","407439367,38","-739299973,52"
"10","0.094395","","56:a3:a6:a3:e2:d2","","","","","","SAE J2735 (2016)","","","","","407439367,30","-739299973,69"
"11","0.102125","","56:a3:a6:a3:e2:d2","","","","","","SAE J2735 (2016)","","","","","407439367,28","-739299973,75"
"12","0.111124","","56:a3:a6:a3:e2:d2","","","","","","SAE J2735 (2016)","","","","","407439369,28","-739299968,75"
"13","0.089918","","56:a3:a6:a3:e2:d2","","","","","","SAE J2735 (2016)","","","","","407439371,32","-739299967,73"
"14","0.095101","","56:a3:a6:a3:e2:d2","","","","","","SAE J2735 (2016)","","","","","407439373,36","-739299967,65"
"15","0.101270","","56:a3:a6:a3:e2:d2","","","","","","SAE J2735 (2016)","","","","","407439375,38","-739299966,69"
"16","0.098104","","56:a3:a6:a3:e2:d2","","","","","","SAE J2735 (2016)","","","","","407439377,34","-739299965,71"
"17","0.096910","","56:a3:a6:a3:e2:d2","","","","","","SAE J2735 (2016)","","","","","407439373,34","-739299958,71"
"18","0.098793","","56:a3:a6:a3:e2:d2","","","","","","SAE J2735 (2016)","","","","","407439375,32","-739299957,71"
"19","0.099527","","56:a3:a6:a3:e2:d2","","","","","","SAE J2735 (2016)","","","","","407439378,38","-739299956,73"
"20","0.100760","","56:a3:a6:a3:e2:d2","","","","","","SAE J2735 (2016)","","","","","407439381,38","-739299955,71"
"21","0.101716","","56:a3:a6:a3:e2:d2","","","","","","SAE J2735 (2016)","","","","","407439381,38","-739299955,71"
"22","0.104158","","56:a3:a6:a3:e2:d2","","","","","","SAE J2735 (2016)","","","","","407439389,36","-739299948,73"
"23","0.103939","","56:a3:a6:a3:e2:d2","","","","","","SAE J2735 (2016)","","","","","407439394,34","-739299945,116"
"24","0.098662","","56:a3:a6:a3:e2:d2","","","","","","SAE J2735 (2016)","","","","","407439400,34","-739299943,127"
"25","0.098567","","56:a3:a6:a3:e2:d2","","","","","","SAE J2735 (2016)","","","","","407439407,34","-739299940,133"
"26","0.096939","","56:a3:a6:a3:e2:d2","","","","","","SAE J2735 (2016)","","","","","407439414,36","-739299937,131"
"27","0.096896","","56:a3:a6:a3:e2:d2","","","","","","SAE J2735 (2016)","","","","","407439404,38","-739299932,83"
"28","0.096458","","56:a3:a6:a3:e2:d2","","","","","","SAE J2735 (2016)","","","","","407439409,52","-739299928,75"
"29","0.102710","","56:a3:a6:a3:e2:d2","","","","","","SAE J2735 (2016)","","","","","407439415,52","-739299925,75"
