"No.","Time","MAC timestamp","Source","elevation","Severity level","Service Info PSID","Elevation","Checksum","Protocol","Latitude","Longitude","Destination Port","elevation"
"1","0.000000","","SiemensI_12:22:28","","","0x00008002","700","","WSA","407425177","-739311200","",""
"2","0.077746","","SiemensI_12:22:28","-220,-220","","","","","SAE J2735 (2016)","","","","-220,-220"
"3","0.500013","","SiemensI_12:22:28","-220,-220","","","","","SAE J2735 (2016)","","","","-220,-220"
"4","0.222394","","SiemensI_12:22:28","","","0xe0000017","64236","","WSA","407425177","-739311200","",""
"5","0.199774","","SiemensI_12:22:28","","","0x00008002","700","","WSA","407425177","-739311200","",""
"6","0.077622","","SiemensI_12:22:28","-220,-220","","","","","SAE J2735 (2016)","","","","-220,-220"
"7","0.500177","","SiemensI_12:22:28","-220,-220","","","","","SAE J2735 (2016)","","","","-220,-220"
"8","0.222843","","SiemensI_12:22:28","","","0xe0000017","64236","","WSA","407425177","-739311200","",""
"9","0.199390","","SiemensI_12:22:28","","","0x00008002","700","","WSA","407425177","-739311200","",""
"10","0.077752","","SiemensI_12:22:28","-220,-220","","","","","SAE J2735 (2016)","","","","-220,-220"
"11","0.499813","","SiemensI_12:22:28","-220,-220","","","","","SAE J2735 (2016)","","","","-220,-220"
"12","0.226126","","SiemensI_12:22:28","","","0xe0000017","64236","","WSA","407425177","-739311200","",""
"13","0.196628","","SiemensI_12:22:28","","","0x00008002","700","","WSA","407425177","-739311200","",""
"14","0.077374","","SiemensI_12:22:28","-220,-220","","","","","SAE J2735 (2016)","","","","-220,-220"
"15","0.499941","","SiemensI_12:22:28","-220,-220","","","","","SAE J2735 (2016)","","","","-220,-220"
"16","0.222718","","SiemensI_12:22:28","","","0xe0000017","64236","","WSA","407425177","-739311200","",""
"17","0.199773","","SiemensI_12:22:28","","","0x00008002","700","","WSA","407425177","-739311200","",""
"18","0.077507","","SiemensI_12:22:28","-220,-220","","","","","SAE J2735 (2016)","","","","-220,-220"
"19","0.500037","","SiemensI_12:22:28","-220,-220","","","","","SAE J2735 (2016)","","","","-220,-220"
"20","0.222877","","SiemensI_12:22:28","","","0xe0000017","64236","","WSA","407425177","-739311200","",""
"21","0.200151","","SiemensI_12:22:28","","","0x00008002","700","","WSA","407425177","-739311200","",""
"22","0.076884","","SiemensI_12:22:28","-220,-220","","","","","SAE J2735 (2016)","","","","-220,-220"
"23","0.500037","","SiemensI_12:22:28","-220,-220","","","","","SAE J2735 (2016)","","","","-220,-220"
"24","0.222512","","SiemensI_12:22:28","","","0xe0000017","64236","","WSA","407425177","-739311200","",""
"25","0.200271","","SiemensI_12:22:28","","","0x00008002","700","","WSA","407425177","-739311200","",""
"26","0.077363","","SiemensI_12:22:28","-220,-220","","","","","SAE J2735 (2016)","","","","-220,-220"
"27","0.499906","","SiemensI_12:22:28","-220,-220","","","","","SAE J2735 (2016)","","","","-220,-220"
"28","0.226148","","SiemensI_12:22:28","","","0xe0000017","64236","","WSA","407425177","-739311200","",""
"29","0.196518","","SiemensI_12:22:28","","","0x00008002","700","","WSA","407425177","-739311200","",""
"30","0.082743","","SiemensI_12:22:28","-220,-220","","","","","SAE J2735 (2016)","","","","-220,-220"
"31","0.503486","","SiemensI_12:22:28","-220,-220","","","","","SAE J2735 (2016)","","","","-220,-220"
"32","0.213692","","SiemensI_12:22:28","","","0xe0000017","64236","","WSA","407425177","-739311200","",""
"33","0.199991","","SiemensI_12:22:28","","","0x00008002","700","","WSA","407425177","-739311200","",""
"34","0.083046","","SiemensI_12:22:28","-220,-220","","","","","SAE J2735 (2016)","","","","-220,-220"
"35","0.500873","","SiemensI_12:22:28","-220,-220","","","","","SAE J2735 (2016)","","","","-220,-220"
"36","0.216788","","SiemensI_12:22:28","","","0xe0000017","64236","","WSA","407425177","-739311200","",""
"37","0.200010","","SiemensI_12:22:28","","","0x00008002","700","","WSA","407425177","-739311200","",""
"38","0.089117","","SiemensI_12:22:28","-220,-220","","","","","SAE J2735 (2016)","","","","-220,-220"
"39","0.494410","","SiemensI_12:22:28","-220,-220","","","","","SAE J2735 (2016)","","","","-220,-220"
"40","0.215865","","SiemensI_12:22:28","","","0xe0000017","64236","","WSA","407425177","-739311200","",""
"41","0.202159","","SiemensI_12:22:28","","","0x00008002","700","","WSA","407425177","-739311200","",""
"42","0.081669","","SiemensI_12:22:28","-220,-220","","","","","SAE J2735 (2016)","","","","-220,-220"
"43","0.499265","","SiemensI_12:22:28","-220,-220","","","","","SAE J2735 (2016)","","","","-220,-220"
"44","0.218351","","SiemensI_12:22:28","","","0xe0000017","64236","","WSA","407425177","-739311200","",""
"45","0.199638","","SiemensI_12:22:28","","","0x00008002","700","","WSA","407425177","-739311200","",""
"46","0.082135","","SiemensI_12:22:28","-220,-220","","","","","SAE J2735 (2016)","","","","-220,-220"
